CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,'Type de roche'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(28.4825-inf)\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
'\'(44.0325-inf)\'','\'(-inf-10.3575]\'','\'(18.495-inf)\'','\'(19.005-28.4825]\'','\'(-inf-81171]\'','\'(-inf-7993]\'','\'(-inf-26584.25]\'','\'(-inf-1751.25]\'','R. carbonatées'
